variance,skewness,curtosis,entropy,class
-3.8894,-7.8322,9.8208,0.47498,1
-2.3277,1.4381,-0.82114,-1.2862,1
-4.2249,6.2699,0.15822,-5.5457,1
-2.3983,12.606,2.9464,-5.7888,0
-2.0962,-7.1059,6.6188,-0.33708,1
2.9233,6.0464,-0.11168,-0.58665,0
4.1529,-3.9358,2.8633,-0.017686,0
-1.8584,7.886,-1.6643,-1.8384,0
3.5189,6.332,-1.7791,-0.020273,0
0.5706,-0.0248,1.2421,-0.5621,0
-3.5895,-6.572,10.5251,-0.16381,1
3.2718,1.7837,2.1161,0.61334,0
0.3292,-4.4552,4.5718,-0.9888,0
2.6917,10.8161,-3.3,-4.2888,0
-6.4247,9.5311,0.022844,-6.8517,1
3.3004,7.0811,-1.3258,0.22283,0
1.0235,6.901,-2.0062,-2.7125,0
3.3756,-4.0951,4.367,1.0698,0
2.8033,9.0862,-3.3668,-1.0224,0
0.30081,0.17381,-1.7542,0.48921,1
5.4021,3.1039,-1.1536,1.5651,0
3.9994,0.90427,1.1693,1.6892,0
0.6005,1.9327,-3.2888,-0.32415,1
-2.0897,10.8265,2.3603,-3.4198,0
-3.2051,-0.14279,0.97565,0.045675,1
-2.0149,3.6874,-1.9385,-3.8918,1
-0.94255,0.039307,-0.24192,0.31593,1
-3.3863,-12.9889,13.0545,-2.7202,1
2.7161,-4.2006,4.1914,0.16981,0
3.5982,7.1307,-1.3035,0.21248,0
0.75896,0.29176,-1.6506,0.83834,1
-3.3458,-0.50491,2.6328,0.53705,1
-1.0116,-0.19038,-0.90597,0.003003,1
0.030219,-1.0512,1.4024,0.77369,1
2.0051,-6.8638,8.132,-0.2401,0
2.5581,2.6218,1.8513,0.40257,0
-2.3142,-0.68494,1.9833,-0.44829,1
-1.6244,-6.3444,4.6575,0.16981,1
-1.1022,-5.8395,4.5641,0.68705,1
3.9529,-2.3548,2.3792,0.48274,0
-3.2854,4.0372,-0.45356,-1.8228,1
0.2346,-4.5152,2.1195,1.4448,1
3.5862,-3.0957,2.8093,0.24481,0
-1.979,3.2301,-1.3575,-2.5819,1
-3.8073,-8.0971,10.1772,0.65084,1
-1.8584,7.886,-1.6643,-1.8384,0
4.3435,3.3295,0.83598,0.64955,0
2.3729,10.4726,-3.0087,-3.2013,0
1.9818,9.2621,-3.521,-1.872,0
-0.21394,-0.68287,0.096532,1.1965,1
2.5698,-4.4076,5.9856,0.078002,0
-2.5084,-0.22763,1.488,1.2069,1
3.8969,7.4163,-1.8245,0.14007,0
-4.3876,-7.7267,11.9655,-1.4543,1
1.3638,-4.7759,8.4182,-1.8836,0
0.91315,3.3377,-4.0557,-1.6741,1
0.50813,0.47799,-1.9804,0.57714,1
-1.8348,11.0334,3.1863,-4.8888,0
-0.49241,0.89392,-1.6283,-0.56854,1
3.8846,-3.0336,2.5334,0.20214,0
1.7257,-4.4697,8.2219,-1.8073,0
-2.5463,3.1101,-0.83228,-3.0358,1
-3.0061,-12.2377,11.9552,-2.1603,1
1.0135,8.4551,-1.672,-2.0815,0
0.66018,10.3878,-1.4029,-3.9151,0
4.3937,0.35798,2.0416,1.2004,0
3.8117,10.1457,-4.0463,-4.5629,0
-1.8483,0.31038,0.77344,1.4189,1
-1.4904,-2.2183,1.6054,0.89394,1
2.8261,9.4007,-3.3034,-1.0509,0
2.5635,6.7769,-0.61979,0.38576,0
2.3925,9.798,-3.0361,-2.8224,0
-2.3221,-9.3304,9.233,-0.79871,1
-1.7599,11.9211,2.6756,-3.3241,0
-2.8619,4.5193,-0.58123,-4.2629,1
2.7365,-5.0325,6.6608,-0.57889,0
0.040498,8.5234,1.4461,-3.9306,0
-0.74324,-0.32902,-0.42785,0.23317,1
-3.7244,1.9037,-0.035421,-2.5095,1
3.884,10.0277,-3.9298,-4.0819,0
1.8967,-2.5163,2.8093,-0.79742,0
0.61652,3.8944,-4.7275,-4.3948,1
2.8084,11.3045,-3.3394,-4.4194,0
2.0193,0.82356,4.6369,1.4202,0
-2.2482,3.0915,-2.3969,-2.6711,1
4.4338,9.887,-4.6795,-3.7483,0
1.4884,3.6274,3.308,0.48921,0
4.1605,11.2196,-3.6136,-4.0819,0
-3.3924,3.3564,-0.72004,-3.5233,1
-3.5798,0.45937,2.3457,-0.45734,1
0.66365,-0.045533,-0.18794,0.23447,1
1.5514,3.8013,-4.9143,-3.7483,1
-3.2778,1.8023,0.1805,-2.3931,1
3.2403,-3.7082,5.2804,0.41291,0
-0.21888,-2.2038,-0.0954,0.56421,1
3.757,-5.4236,3.8255,-1.2526,0
-2.286,-5.4484,5.8039,0.88231,1
4.3239,-4.8835,3.4356,-0.5776,0
1.0009,7.7846,-0.28219,-2.6608,0
0.32444,10.067,-1.1982,-4.1284,0
1.3754,8.8793,-1.9136,-0.53751,0
0.5706,-0.0248,1.2421,-0.5621,0
5.6084,10.3009,-4.8003,-4.3534,0
-1.1005,-7.2508,6.0139,0.36895,1
-2.1802,3.3791,-1.2256,-2.6621,1
-2.588,3.8654,-0.3336,-1.2797,1
-0.36279,8.2895,-1.9213,-3.3332,0
-6.0598,9.2952,-0.43642,-6.3694,1
-0.64472,-4.6062,8.347,-2.7099,0
-3.5933,0.22968,0.7126,-0.3332,1
5.0452,3.8964,-1.4304,0.86291,0
-2.4824,-7.3046,6.839,-0.59053,1
4.1757,10.2615,-3.8552,-4.3056,0
-2.4561,-4.5566,6.4534,-0.056479,1
-0.63298,-5.1277,4.5624,1.4797,1
-1.8629,-0.84841,2.5377,0.097399,1
4.0047,0.45937,1.3621,1.6181,0
2.483,6.6155,-0.79287,-0.90863,0
1.2616,4.4303,-1.3335,-1.7517,0
4.1962,0.74493,0.83256,0.753,0
-0.539,-5.167,3.4399,0.052141,1
1.3049,-0.15521,6.4911,-0.75346,0
1.5691,6.3465,-0.1828,-2.4099,0
-2.8829,3.8964,-0.1888,-1.1672,1
-1.2576,1.5892,7.0078,0.42455,0
1.8592,3.2074,-0.15966,-0.26208,0
5.7353,5.2808,-2.2598,0.075416,0
-3.5637,-8.3827,12.393,-1.2823,1
-4.577,3.4515,0.66719,-0.94742,1
-2.4365,3.6026,-1.4166,-2.8948,1
0.96788,7.1907,1.2798,-2.4565,0
0.11032,1.9741,-3.3668,-0.65259,1
3.9414,-3.2902,3.1674,1.0866,0
0.049175,6.1437,1.7828,-0.72113,0
2.9736,8.7944,-3.6359,-1.3754,0
-4.4996,3.4288,0.56265,-1.1672,1
-1.3414,-1.9162,-0.15538,-0.11984,1
1.296,4.2855,-4.8457,-2.9013,1
-2.1668,1.5933,0.045122,-1.678,1
1.9476,-4.7738,8.527,-1.8668,0
-3.8858,-12.8461,12.7957,-3.1353,1
0.60731,3.9544,-4.772,-4.4853,1
-1.1188,3.3357,-1.3455,-1.9573,1
-0.40951,-0.15521,0.060545,-0.088807,1
-1.5252,-6.2534,5.3524,0.59912,1
-2.2183,-1.254,2.9986,0.36378,1
-0.7056,8.7241,2.2215,-4.5965,0
-0.9607,2.6963,-3.1226,-1.3121,1
4.8278,7.7598,-2.4491,-1.2216,0
-1.6662,-0.30005,1.4238,0.024986,1
-3.9698,3.6812,-0.60008,-4.0133,1
2.9543,1.076,0.64577,0.89394,0
2.5559,3.3605,2.0321,0.26809,0
4.2899,9.1814,-4.6067,-4.3263,0
2.5227,2.2369,2.7236,0.79438,0
-0.47465,-4.3496,1.9901,0.7517,1
3.0632,-3.3315,5.1305,0.8267,0
5.7823,5.5788,-2.4089,-0.056479,0
-0.28015,3.0729,-3.3857,-2.9155,1
0.87256,9.2931,-0.7843,-2.1978,0
1.5904,2.2121,-3.1183,-0.11725,1
-0.28696,3.1784,-3.5767,-3.1896,1
-4.3967,4.9601,-0.64892,-5.4719,1
-0.41965,2.9094,-1.7859,-2.2069,1
1.8384,6.063,0.54723,0.51248,0
0.74054,0.36625,2.1992,0.48403,0
0.5415,6.0319,1.6825,-0.46122,0
4.5459,8.1674,-2.4586,-1.4621,0
0.81356,9.1566,-2.1492,-4.1814,0
0.5195,-3.2633,3.0895,-0.9849,0
4.0932,5.4132,-1.8219,0.23576,0
3.2414,0.40971,1.4015,1.1952,0
-3.3203,-0.02691,2.9618,-0.44958,1
-2.2677,3.2964,-2.2563,-2.4642,1
2.6213,5.7919,0.065686,-1.5759,0
-1.5877,-6.6072,5.8022,0.31593,1
-0.91318,-2.0113,-0.19565,0.066365,1
-0.98193,2.7956,-1.2341,-1.5668,1
1.5478,9.1814,-1.6326,-1.7375,0
4.3398,-5.3036,3.8803,-0.70432,0
3.5912,3.0129,0.72888,0.56421,0
-2.484,12.1611,2.8204,-3.7418,0
1.2279,4.0309,-4.6435,-3.9125,1
-0.16735,7.6274,1.2061,-3.6241,0
-4.244,-13.0634,17.1116,-2.8017,1
3.4663,1.1112,1.7425,1.3388,0
5.1302,8.6703,-2.8913,-1.5086,0
0.55298,-3.4619,1.7048,1.1008,1
-6.5084,8.7696,0.23191,-3.937,1
-0.60254,1.7237,-2.1501,-0.77027,1
0.5706,-0.0248,1.2421,-0.5621,0
3.2692,3.4184,0.20706,-0.066824,0
-1.1859,-1.2519,2.2635,0.77239,1
-0.83121,0.039307,0.05369,-0.23105,1
4.6054,-4.0765,2.7587,0.31981,0
3.7982,10.423,-4.1602,-4.9728,0
1.2706,8.035,-0.19651,-2.1888,0
2.1752,-0.8091,5.1022,-0.67975,0
-3.5681,-8.213,10.083,0.96765,1
2.093,8.3061,0.022844,-3.2724,0
2.2123,-5.8395,7.7687,-0.85302,0
4.2475,1.4816,-0.48355,0.95343,0
-2.6989,12.1984,0.67661,-8.5482,0
0.15423,0.11794,-1.6823,0.59524,1
-5.0301,7.5032,-0.13396,-7.5034,1
3.3583,10.3567,-3.7301,-3.6991,0
-2.9786,2.3445,0.52667,-0.40173,1
0.6005,0.99945,-2.2126,0.097399,1
1.8994,0.97462,4.2265,0.81377,0
-2.2173,1.4671,-0.72689,-1.1724,1
1.3349,6.1189,0.46497,0.49826,0
0.26877,4.987,-5.1508,-6.3913,1
2.6799,3.1349,0.34073,0.58489,0
3.5257,1.2829,1.9276,1.7991,0
3.8962,-4.7904,3.3954,-0.53751,0
-0.95923,-6.7128,4.9857,0.32886,1
1.5673,7.9274,-0.056842,-2.1694,0
1.5268,-5.5871,8.6564,-1.722,0
3.5594,1.3078,1.291,1.6556,0
0.74841,7.2756,1.1504,-0.5388,0
-0.3481,-0.38696,-0.47841,0.62627,1
1.7748,-0.76978,5.5854,1.3039,0
3.744,0.79459,0.95851,1.0077,0
2.9742,8.96,-2.9024,-1.0379,0
-1.7063,2.7956,-2.378,-2.3491,1
0.72252,-0.053811,5.6703,-1.3509,0
5.7227,5.8312,-2.4097,-0.24527,0
2.9163,10.8306,-3.3437,-4.122,0
0.75108,1.9161,-3.1098,-0.20518,1
-2.5899,-0.3911,0.93452,0.42972,1
-4.5046,-5.8126,10.8867,-0.52846,1
1.8993,7.6625,0.15394,-3.1108,0
-0.52645,-0.24832,-0.45613,0.41938,1
-3.9172,2.6652,0.78886,-0.7819,1
3.6941,-3.9482,4.2625,1.1577,0
3.0948,8.7324,-2.9007,-0.96682,0
-1.2667,2.8183,-2.426,-1.8862,1
1.2198,2.0982,-3.1954,0.12843,1
-2.4349,-9.2497,8.9922,-0.50001,1
-1.5078,-7.3191,7.8981,1.2289,1
-2.7769,-5.6967,5.9179,0.37671,1
-0.1269,-1.1505,-0.95138,0.57843,1
-3.6961,-13.6779,17.5795,-2.6181,1
3.8417,10.0215,-4.2699,-4.9159,0
2.9695,5.6222,0.27561,-1.1556,0
3.3397,-4.6145,3.9823,-0.23751,0
-5.9034,6.5679,0.67661,-6.6797,1
2.0007,1.8644,2.6491,0.47369,0
-0.89569,3.0025,-3.6067,-3.4457,1
0.17346,7.8695,0.26876,-3.7883,0
-2.4953,11.1472,1.9353,-3.4638,0
0.81583,4.84,-5.2613,-6.0823,1
0.68087,2.3259,4.9085,0.54998,0
4.65,-4.8297,3.4553,-0.25174,0
-2.7264,3.9213,-0.49212,-3.6371,1
-0.59587,2.4811,-2.8673,-0.89828,1
5.8862,5.8747,-2.8167,-0.30087,0
1.602,6.1251,0.52924,0.47886,0
-4.7462,3.1205,1.075,-1.2966,1
0.96708,3.8426,-4.9314,-4.1323,1
3.966,3.9213,0.70574,0.33662,0
0.93611,8.6413,-1.6351,-1.3043,0
3.0864,-2.5845,2.2309,0.30947,0
0.47368,3.3605,-4.5064,-4.0431,1
-3.0799,0.60836,2.7039,-0.23751,1
-4.6338,-12.7509,16.7166,-3.2168,1
-0.56877,1.4174,-1.4252,-1.1246,1
0.77445,9.0552,-2.4089,-1.3884,0
-1.3885,12.5026,0.69118,-7.5487,0
-0.53072,-0.097265,-0.21793,1.0426,1
1.8238,-6.7748,8.3873,-0.54139,0
1.1166,8.6496,-0.96252,-1.8112,0
-4.4779,7.3708,-0.31218,-6.7754,1
1.2247,8.7779,-2.2135,-0.80647,0
0.59823,3.5012,-3.9795,-1.7841,1
1.4578,-0.08485,4.1785,0.59136,0
2.2517,-5.1422,4.2916,-1.2487,0
0.5734,9.1938,-0.9094,-1.872,0
-6.7387,6.9879,0.67833,-7.5887,1
3.946,6.8514,-1.5443,-0.5582,0
-3.551,1.8955,0.1865,-2.4409,1
-3.8483,-12.8047,15.6824,-1.281,1
2.0597,-0.99326,5.2119,-0.29312,0
-0.89809,-4.4862,2.2009,0.50731,1
2.0139,6.1416,0.37929,0.56938,0
3.2351,9.647,-3.2074,-2.5948,0
1.5077,1.9596,-3.0584,-0.12243,1
4.3634,0.46351,1.4281,2.0202,0
-1.3,10.2678,-2.953,-5.8638,0
-1.4233,-0.98912,2.3586,0.39481,1
-3,-9.1566,9.5766,-0.73018,1
-2.121,-0.05588,1.949,1.353,1
-0.88728,2.808,-3.1432,-1.2035,1
-0.77688,0.13036,-0.031137,-0.35389,1
4.0524,5.6802,-1.9693,0.026279,0
-2.7083,-6.8266,7.5339,0.59007,1
-2.4458,1.6285,-0.88541,-1.4802,1
0.3798,0.7098,0.7572,-0.4444,0
-0.76794,3.4598,-3.4405,-3.4276,1
0.76163,5.8209,1.1959,-0.64613,0
4.3848,-3.0729,3.0423,1.2741,0
-1.8387,-6.301,5.6506,0.19567,1
5.7403,-0.44284,0.38015,1.3763,0
1.2309,3.8923,-4.8277,-4.0069,1
0.0071249,8.3661,0.50781,-3.8155,0
-0.39416,-0.020702,-0.066267,-0.44699,1
-3.8167,5.1401,-0.65063,-5.4306,1
2.0177,1.7982,-2.9581,0.2099,1
4.6562,7.6398,-2.4243,-1.2384,0
4.8851,1.5995,-0.00029081,1.6401,0
-0.2361,9.3221,2.1307,-4.3793,0
-1.8584,7.886,-1.6643,-1.8384,0
-2.2918,-7.257,7.9597,0.9211,1
6.0919,2.9673,-1.3267,1.4551,0
1.6349,3.286,2.8753,0.087054,0
-0.36506,2.8928,-3.6461,-3.0603,1
4.0948,-2.9674,2.3689,0.75429,0
-0.50816,2.868,-1.8108,-2.2612,1
-1.4275,11.8797,0.41613,-6.9978,0
5.504,10.3671,-4.413,-4.0211,0
2.9856,7.2673,-0.409,-2.2431,0
2.5503,-4.9518,6.3729,-0.41596,0
-6.3364,9.2848,0.014275,-6.7844,1
3.6582,5.6864,-1.7157,-0.23751,0
-0.82053,0.65181,-0.48869,-0.52716,1
1.762,4.3682,2.1384,0.75429,0
-1.2792,2.1376,-0.47584,-1.3974,1
2.4012,1.6223,3.0312,0.71679,0
-3.518,2.8763,0.1548,-1.2086,1
2.4226,-4.5752,5.947,0.21507,0
-2.4604,12.7302,0.91738,-7.6418,0
-1.0833,-0.31247,1.2815,0.41291,1
-2.6864,-0.097265,0.61663,0.061192,1
-0.40804,0.54214,-0.52725,0.6586,1
-0.38388,-1.0471,8.0514,0.49567,0
1.2138,8.7986,-2.1672,-0.74182,0
3.2051,8.6889,-2.9033,-0.7819,0
-0.2062,9.2207,-3.7044,-6.8103,0
-1.4454,-8.4385,8.8483,0.96894,1
-1.7104,-4.778,6.2109,0.3974,1
-2.799,1.9679,-0.42357,-2.1125,1
2.2279,4.0951,-4.8037,-2.1112,1
-0.77848,3.4019,-3.4859,-3.5569,1
-3.9933,2.6218,0.62863,-1.1595,1
1.1432,-3.7413,5.5777,-0.63578,0
0.51947,-3.2633,3.0895,-0.98492,0
5.3915,9.9946,-3.8081,-3.3642,0
1.2999,2.5762,2.0107,-0.18967,0
4.2027,0.22761,0.96108,0.97282,0
4.9264,5.496,-2.4774,-0.50648,0
-3.5916,-6.2285,10.2389,-1.1543,1
3.2704,6.9321,-1.0456,0.23447,0
0.24835,7.6439,0.9885,-0.87371,0
4.3483,11.1079,-4.0857,-4.2539,0
-3.793,-12.7095,12.7957,-2.825,1
0.64295,7.1018,0.3493,-0.41337,0
0.12326,8.9848,-0.9351,-2.4332,0
2.2091,7.4556,-1.3284,-3.3021,0
2.7213,7.05,-0.58808,0.41809,0
-2.1405,-0.16762,1.321,-0.20906,1
3.8244,-3.1081,2.4537,0.52024,0
3.6216,8.6661,-2.8073,-0.44699,0
5.0429,-0.52974,0.50439,1.106,0
1.208,4.0744,-4.7635,-2.6129,1
-3.3793,-13.7731,17.9274,-2.0323,1
-3.506,-12.5667,15.1606,-0.75216,1
4.8272,3.0687,0.68604,0.80731,0
0.89566,7.7763,-2.7473,-1.9353,0
-1.9458,11.2217,1.9079,-3.4405,0
1.645,7.8612,-0.87598,-3.5569,0
1.0607,2.4542,2.5188,-0.17027,0
4.616,10.1788,-4.2185,-4.4245,0
5.8782,5.9409,-2.8544,-0.60863,0
-6.3979,6.4479,1.0836,-6.6176,1
